Students Should Learn Fewer Topics In Greater Depth Instead of Learning More Topics In Less Depth In An Introductory Statistics Course,Basic Rules of Probability Should Be Included In An Introductory Statistics Course,The Topic of Theoretical Probability Distributions e.g. The Binomial Distribution Should Be Included In An Introductory Statistics Course,Students Should Learn How to Read Statistical Tables of Probability Distributions e.g. T Table Z Table,Students Should Learn The Importance of Using Appropriate Methods For Collecting Data,Students Should Learn Connections Between The Qualityture of The Data and Inferences that Are Made,Technology Tools Should Be Used to Illustrate Most Abstract Statistical Concepts,Students Should Analyze Data Primarily Using Technology,Lectures Should Be The Primary Way For Students to Learn Statistical Content,Quizzes and Exams Should Be Used As The Primary Way to Evaluate Student Learning,Alternative Assessments e.g. Projects Presentations Should Be Used to Provide Important Information About Student Learning,All Assessments Should Be Regularly Reviewed to See that They Are Aligned With Student Learning Goals,Formative Feedback Should Be Given On All Assessments In Order For Students to Improve Their Learning,Students Should Be Assessed On Their Ability to Complete An Open Ended Statistical Problem,Students Should Be Assessed On Their Statistical Literacy e.g. Ability to Read a Graph Understand Common Statistical Words etc.,Statistics Courses Should Be Updated Continually to Keep Up With Advances In Technology,Statistics Courses Should Be Updated Continually In Response to Recommendations Such As Common Core,Statistics Instructors Should Be Actively Engaged In The Statistics Education Community,The Content Was Presented Mostly Through Lectures,The Instructor Asked Challenging Questions that Made Students Think,The Course Frequently Required Students to Work Together,The Content Was Presented Mostly Through Activities,this Course Encouraged Students to Discover Ideas On Their Own,Students Use Graphing Calculators Regularly In this Course,this Course Often Used Technology Other Than Graphing Calculators to Help Students Understand Concepts
3,6,5,5,6,6,5,4,4,4,5,5,5,5,5,6,4,5,3,5,5,3,4,5,5
6,4,3,5,5,6,6,5,3,4,4,5,5,5,5,5,5,5,4,5,5,3,4,5,4
4,6,5,4,6,6,6,6,3,2,6,6,6,6,6,6,3,6,5,4,5,3,4,6,2
3,5,4,5,5,5,5,4,4,4,4,6,5,5,5,5,4,5,4,5,6,4,4,6,4
5,2,2,2,6,6,6,6,4,4,4,6,4,5,5,6,4,5,4,6,5,4,3,6,4
4,6,6,2,4,4,3,4,5,5,4,4,5,4,4,5,2,4,5,6,4,2,4,6,2
4,4,4,1,5,5,5,5,4,4,4,5,5,4,6,5,4,6,4,5,4,4,4,6,4
4,4,4,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,4,5,5,4,4,5,1
4,5,5,5,5,5,5,3,3,4,4,4,4,4,5,4,3,4,5,5,4,2,3,5,2
2,5,5,4,6,6,6,6,4,5,5,6,6,6,6,4,1,6,5,5,5,5,5,6,2
4,4,5,6,6,6,4,3,4,3,5,4,5,5,5,6,3,4,5,6,4,3,5,6,5
5,4,4,6,6,6,6,6,5,6,5,5,6,6,6,6,2,4,5,6,6,2,5,6,5
5,4,4,5,6,6,5,4,1,3,4,6,6,5,5,5,2,5,4,6,5,4,4,6,4
4,4,4,5,6,6,5,5,3,3,6,6,6,6,4,6,4,5,5,3,3,1,2,6,1
5,6,5,5,5,5,6,6,5,5,5,5,5,5,6,6,6,5,4,5,5,4,5,5,5
3,5,5,4,5,5,4,5,4,4,5,6,5,5,5,5,3,4,4,5,6,4,3,6,4
4,4,4,5,4,4,4,5,3,4,3,4,5,5,5,5,3,4,3,4,5,4,3,6,4
4,4,5,6,5,5,4,5,4,5,5,6,4,5,6,4,2,5,6,5,4,2,4,6,4
4,5,5,5,6,5,5,2,2,2,4,5,6,5,5,6,5,4,6,5,6,3,4,6,3
3,4,4,4,6,5,6,6,3,4,5,6,5,4,5,6,2,4,4,5,4,3,2,6,4
5,6,3,5,6,5,5,4,4,4,5,5,5,6,6,4,4,5,4,5,4,3,4,6,4
5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,3,3,4,1
1,3,6,6,4,4,5,3,4,6,4,2,5,5,5,2,2,3,4,5,5,3,2,6,1
5,4,2,2,6,5,6,6,1,4,4,6,5,2,5,5,3,6,1,4,6,6,5,6,4
2,6,6,5,6,5,6,5,1,3,5,4,5,4,3,6,2,5,4,3,5,5,4,6,4
3,5,2,6,6,5,2,5,3,4,5,6,5,4,6,5,3,5,4,5,6,3,3,6,1
4,5,4,5,5,5,5,5,4,4,4,5,6,6,6,5,4,4,5,6,4,4,4,5,4
3,6,5,3,6,6,5,5,3,4,4,5,5,5,5,5,3,3,6,6,4,1,3,6,1
4,3,4,5,6,5,4,3,3,4,4,4,5,6,6,4,4,4,5,3,5,3,3,5,2
6,5,2,5,5,5,4,2,1,2,6,6,5,5,5,4,4,4,2,5,5,5,4,5,4
5,5,4,4,5,6,5,4,3,4,4,5,4,5,6,5,4,6,3,4,5,4,3,5,5
3,6,4,4,5,6,4,6,5,4,5,6,6,6,6,6,1,5,4,6,5,4,5,5,2
4,4,5,5,5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,6,3,4,6,4
1,6,5,4,6,6,5,6,2,5,4,6,6,6,6,6,4,6,1,4,6,6,5,6,4
5,5,5,5,5,5,5,5,4,5,5,4,6,5,5,5,4,5,6,5,6,4,3,5,1
3,5,4,4,4,4,5,4,3,4,5,6,5,4,5,4,4,4,4,5,5,3,4,6,2
6,5,1,6,6,6,5,5,4,4,5,6,6,6,5,3,2,3,5,6,5,3,4,3,4
3,6,6,4,6,4,4,4,4,6,4,6,6,6,6,5,4,5,4,4,6,4,4,6,4
2,5,5,6,6,6,3,3,3,4,4,5,6,5,5,4,4,5,5,2,4,2,2,5,2
4,4,4,4,6,6,4,4,2,4,4,5,6,6,6,4,3,4,2,5,4,4,3,5,4
4,4,4,3,5,5,4,4,3,3,4,5,5,5,5,5,5,5,5,4,4,3,3,6,4
2,6,4,5,5,4,4,4,1,2,5,5,5,6,6,5,4,5,2,4,4,4,1,4,3
5,4,4,3,4,5,4,4,3,3,6,6,5,6,6,5,3,4,4,4,4,2,3,5,2
5,6,6,4,6,5,6,5,4,5,4,4,6,6,6,5,5,4,5,5,4,3,4,6,4
4,5,5,5,6,6,5,5,3,5,3,4,5,6,6,5,1,6,1,5,3,3,3,6,3
5,5,2,5,6,6,5,5,3,5,5,5,5,6,6,4,4,5,4,6,5,4,4,6,2
4,5,4,4,6,6,6,5,2,4,6,5,5,6,6,6,3,5,3,5,5,4,4,6,4
2,6,6,6,6,5,5,5,1,4,4,5,4,2,5,5,1,6,3,5,5,3,4,6,4
5,3,4,4,5,5,6,6,2,5,4,5,6,5,6,6,5,6,6,5,4,3,3,6,4
1,6,5,4,6,5,6,5,2,3,6,6,6,6,6,6,4,4,4,6,6,4,4,6,5
3,6,6,6,6,6,2,1,2,1,6,3,4,6,6,2,1,5,4,5,4,3,5,4,3
4,5,5,4,6,6,3,3,2,3,5,5,6,5,5,5,3,5,3,5,6,3,4,6,2
3,6,6,6,6,5,5,5,3,5,5,5,6,6,6,6,5,6,4,5,6,4,4,6,4
4,3,5,2,5,5,5,5,3,3,4,5,6,5,5,4,2,5,4,5,6,3,4,5,2
5,2,2,5,6,6,5,4,4,4,5,5,6,6,6,6,4,6,5,5,5,4,4,6,5
2,5,5,3,6,6,6,5,4,3,5,5,5,6,6,5,2,5,5,6,4,2,5,6,5
5,5,4,4,6,6,4,2,1,2,5,5,5,5,5,5,5,6,4,5,4,4,4,6,4
4,6,6,5,6,6,5,4,4,4,4,5,5,6,6,5,2,4,4,6,5,3,5,6,5
6,6,2,6,6,4,6,5,3,4,5,5,5,6,4,5,3,4,5,5,5,3,5,6,4
5,3,4,2,6,6,6,6,4,5,5,5,6,5,5,5,1,5,4,5,6,4,4,6,4
4,6,6,6,6,6,4,4,4,4,4,5,6,6,6,5,3,6,4,6,5,3,5,6,5
3,5,6,6,6,5,4,3,4,4,5,5,5,6,6,5,3,5,5,4,4,2,2,6,2
3,5,5,4,6,6,4,5,2,5,4,6,6,6,6,6,6,5,4,6,4,2,4,6,3
4,4,4,5,6,6,5,4,4,4,4,5,5,6,6,6,2,6,4,5,6,4,4,6,2
5,5,4,3,5,5,4,3,2,4,4,5,5,6,6,5,2,4,4,5,3,3,4,5,3
4,5,5,4,5,6,5,5,3,4,5,5,5,5,5,5,5,5,4,4,4,3,4,5,3
4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,4
3,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,4,3,5,4
2,5,5,4,5,5,5,5,4,5,4,5,5,2,6,4,3,4,5,6,4,1,1,6,1
6,4,4,1,4,4,3,2,5,5,4,4,5,5,5,4,4,3,5,5,6,3,4,5,4
4,6,5,4,6,6,6,6,3,4,4,5,6,6,6,5,4,5,4,5,5,4,3,6,3
3,6,5,4,6,6,6,3,2,3,5,4,3,5,5,5,2,4,6,5,4,3,4,6,3
4,6,6,4,6,6,6,6,4,3,5,5,6,6,6,6,6,6,5,5,5,4,3,6,4
4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,6,5,4,4,6,3
4,5,5,2,6,6,4,3,3,4,5,5,5,6,6,5,3,5,5,5,4,3,4,6,3
4,5,5,5,5,5,4,3,5,5,5,5,5,4,5,4,2,4,6,5,5,2,2,4,2
5,5,5,5,5,6,5,2,1,3,3,4,5,5,5,5,4,5,4,4,5,4,4,6,5
2,3,4,6,6,6,4,6,3,4,4,4,4,5,6,5,4,6,4,5,6,4,4,6,3
4,4,4,4,5,5,5,5,3,5,4,5,5,5,5,4,4,3,5,5,3,3,4,6,4
5,5,5,4,6,6,6,4,3,3,5,5,5,6,6,6,1,6,4,5,5,4,4,6,3
5,4,2,4,5,5,5,4,2,4,4,5,5,5,5,5,5,4,4,5,5,3,3,6,3
4,5,5,4,5,5,4,4,3,3,4,4,4,5,5,5,5,5,3,5,6,4,4,5,4
3,5,4,4,6,6,5,5,3,5,4,5,5,6,6,3,3,5,3,4,5,4,3,6,4
4,5,6,2,6,5,5,4,1,2,6,5,5,5,6,5,2,6,3,4,6,5,4,6,1
4,6,6,2,5,5,5,5,3,4,4,4,5,5,5,5,3,5,4,5,6,3,3,6,3
5,5,5,4,6,6,5,3,3,4,4,5,6,5,5,6,5,6,4,5,5,3,4,6,4
4,5,5,5,6,5,6,4,1,1,6,5,6,6,6,5,3,6,2,5,5,4,4,6,4
4,5,5,3,6,6,5,6,2,3,5,4,5,5,5,5,3,6,3,5,6,4,3,5,4
4,5,5,4,6,5,5,5,3,4,4,4,5,5,6,5,4,4,5,5,5,4,4,6,5
5,5,5,4,6,6,5,5,3,4,4,6,6,5,6,5,5,5,4,5,5,4,5,6,3
2,5,5,4,6,4,5,4,4,4,4,4,4,4,4,4,3,5,4,6,5,3,4,5,3
3,5,5,6,6,6,5,5,4,4,5,5,6,6,6,5,3,4,5,5,5,4,4,6,5
3,6,5,2,6,4,6,5,2,2,6,5,6,6,6,6,4,6,2,4,6,4,4,5,3
3,5,5,4,6,6,5,5,4,4,5,6,6,6,6,3,4,5,6,5,5,3,4,6,2
4,6,6,6,6,6,5,4,3,3,4,6,6,5,5,4,3,5,5,5,5,4,4,6,3
5,5,5,6,6,5,6,6,3,3,6,6,6,6,4,6,3,6,4,5,6,4,3,6,5
6,6,2,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,4,5,5,4,4,6,6
5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,4,3,4,6,4,5,6,4
5,4,4,6,6,5,5,4,3,4,4,5,5,5,5,5,2,4,2,5,5,4,3,5,5
4,4,3,6,6,5,5,4,3,5,4,6,5,6,5,4,4,5,5,6,4,3,4,5,2
6,6,6,6,5,5,4,1,3,4,4,5,6,5,6,4,5,5,5,5,4,3,3,6,1
4,5,2,5,5,4,4,5,2,5,5,5,5,6,6,5,5,6,4,3,3,2,2,6,5
4,5,5,4,6,6,4,4,2,3,5,4,5,5,6,5,5,6,4,5,4,4,3,6,4
4,5,5,4,4,4,5,6,5,5,5,5,5,6,6,5,4,4,6,4,4,2,3,6,5
6,5,6,4,6,5,5,5,3,6,4,5,6,6,6,4,3,5,5,6,6,2,4,5,6
5,4,2,6,6,6,6,4,1,2,6,6,6,6,6,6,6,6,1,5,6,6,6,4,5
4,6,6,2,6,5,4,2,2,2,5,5,6,5,6,6,4,5,4,4,4,4,4,5,3
6,6,6,1,6,6,6,4,2,3,6,5,5,6,6,5,4,4,2,6,6,5,4,6,4
6,6,5,4,6,6,5,5,3,4,3,6,6,5,6,6,5,6,4,5,4,4,3,5,5
3,4,4,2,6,6,5,5,1,3,4,6,6,6,6,5,5,6,2,6,5,6,5,4,4
3,6,5,6,6,6,5,3,2,3,4,4,5,4,5,5,3,4,4,5,5,4,4,5,3
6,4,5,6,6,6,5,3,1,4,5,6,5,5,6,6,4,5,1,5,6,5,3,5,5
4,5,4,5,5,6,5,4,3,5,4,5,5,5,5,5,4,5,5,4,4,5,4,5,5
3,5,6,1,6,6,4,4,5,5,4,4,5,5,6,5,4,4,6,6,3,2,2,6,3
3,5,5,4,5,5,5,5,2,5,5,5,5,4,5,5,5,3,2,5,5,4,4,5,4
4,3,3,4,5,5,5,5,2,3,5,5,5,5,5,5,4,5,5,4,4,3,3,4,4
4,6,6,6,6,5,5,3,4,4,5,5,5,5,5,4,2,4,5,5,4,3,3,5,4
5,3,5,6,6,6,6,4,4,5,5,5,6,6,6,6,6,5,6,6,6,5,4,6,4
2,5,5,4,5,5,5,4,4,4,4,2,5,4,5,5,2,3,4,4,5,4,3,5,3
4,4,4,3,6,6,5,5,3,3,4,4,6,6,6,6,4,6,4,4,4,4,3,6,4
6,6,6,3,6,6,6,5,4,5,4,5,6,6,6,4,4,5,6,6,5,5,5,5,2
5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,3,3,6,4
5,4,5,5,6,6,5,5,4,4,4,5,5,5,6,5,2,4,5,5,5,3,5,6,3
2,5,6,4,6,6,5,5,3,4,4,6,6,6,6,6,5,6,4,5,5,3,4,6,4
3,4,6,4,6,6,6,6,3,4,4,6,6,6,6,6,4,5,4,5,5,4,4,6,4
4,5,4,3,6,6,4,4,2,3,4,6,5,6,6,4,4,6,4,5,4,4,2,4,5
3,3,3,5,5,6,4,3,3,4,4,6,6,4,5,4,1,4,3,5,5,4,4,5,2
3,6,6,1,6,6,6,5,6,6,4,5,5,6,6,6,5,5,6,6,2,1,4,6,5
5,5,5,3,5,5,5,6,4,5,4,5,5,6,6,5,4,6,6,6,3,4,4,6,5
4,5,3,3,6,6,4,4,3,6,5,4,6,6,6,4,4,6,4,4,3,3,2,4,4
5,5,5,4,6,6,6,5,3,3,5,6,6,6,6,6,3,6,4,5,4,2,3,5,5
2,5,4,5,5,5,4,4,2,3,4,5,5,5,5,4,4,4,4,4,5,4,4,6,4
3,5,5,2,5,5,4,4,2,4,5,5,4,4,5,5,4,5,2,4,5,4,3,5,3
4,4,3,3,6,6,4,6,4,5,5,6,6,5,5,6,4,4,5,5,5,2,2,6,4
6,6,6,3,6,6,6,6,2,4,6,6,6,6,6,6,3,6,5,6,6,3,4,6,5
6,5,5,4,6,6,5,6,3,4,5,6,6,6,5,6,5,5,4,6,6,3,3,6,4
2,5,5,6,6,6,5,5,4,5,5,6,6,6,6,5,4,4,4,5,6,3,5,6,2
3,6,6,2,6,6,5,4,2,3,5,6,6,6,6,5,4,6,4,4,5,4,6,5,6
5,5,5,5,5,5,6,6,1,2,6,5,6,5,6,5,2,6,1,5,6,6,6,4,4
3,5,5,2,5,6,4,4,4,4,4,5,4,5,5,5,3,4,5,5,4,2,4,6,3
5,3,3,3,4,4,4,3,5,4,5,4,4,4,4,4,4,4,5,4,3,2,2,3,1
4,5,5,4,5,4,5,4,2,4,5,5,5,5,5,5,5,5,3,5,5,4,4,6,4
6,3,3,6,6,6,6,2,4,4,5,6,6,6,6,6,6,6,5,5,5,4,5,6,5
4,4,4,1,4,4,5,5,2,4,4,5,6,4,6,5,5,5,3,6,5,5,5,5,5
4,3,5,6,6,6,4,4,1,5,4,6,6,6,6,6,4,6,6,5,4,1,2,5,2
2,5,5,6,6,6,6,4,5,5,5,6,6,6,6,6,4,5,6,6,6,4,4,6,3
5,5,5,5,5,5,5,4,3,3,5,5,6,6,6,5,5,5,5,5,4,3,4,6,3
5,3,4,1,6,6,6,5,1,2,6,5,5,6,6,5,5,6,3,6,6,5,3,4,5
5,4,4,5,5,5,6,4,2,2,4,5,5,5,5,4,2,4,4,4,5,3,3,6,4
6,5,5,4,6,6,6,4,3,4,5,5,5,6,6,6,4,6,5,5,5,4,4,6,4
5,4,4,3,5,5,5,5,3,3,5,4,5,4,5,5,4,5,3,4,5,5,4,4,5
5,6,5,4,6,6,5,4,2,3,4,6,6,5,5,5,5,5,4,4,5,5,4,1,6
2,4,5,6,4,5,3,2,4,3,3,4,4,5,5,5,2,3,4,4,3,3,3,3,3
6,5,5,1,6,6,6,6,4,5,4,5,6,5,6,5,5,6,4,6,5,5,2,6,2
6,5,5,4,6,6,5,5,4,4,4,6,6,4,5,5,4,5,4,5,5,4,3,5,5
2,5,5,6,6,6,5,5,4,5,5,5,6,6,6,5,3,5,4,5,5,4,4,5,4
6,6,6,6,6,6,6,5,2,3,5,6,6,6,6,6,5,6,1,6,6,5,5,5,5
4,6,5,2,6,6,5,5,3,3,6,6,6,6,6,5,3,5,5,5,5,2,4,5,5
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4
5,5,5,5,6,6,5,4,4,4,5,6,6,6,6,6,4,6,4,5,5,4,3,6,5
5,6,6,4,4,6,6,4,2,2,5,5,5,5,5,6,6,6,3,5,4,4,4,5,3
4,1,4,5,5,6,6,3,2,2,5,6,6,6,6,5,4,6,4,6,6,5,6,6,4
1,4,1,1,1,2,4,4,1,3,4,4,6,5,5,5,1,6,3,5,5,4,4,6,4
4,4,4,3,5,6,2,5,3,4,5,5,5,5,5,6,3,6,5,5,4,4,4,1,4
3,4,5,5,5,5,5,5,2,4,5,5,5,5,5,5,4,5,3,5,5,4,5,6,2
6,3,3,5,5,5,5,5,3,3,5,4,4,4,6,5,4,5,3,4,5,4,4,5,5
3,3,6,6,6,5,4,2,3,4,5,6,6,6,6,5,4,5,5,5,5,5,5,6,4
4,4,4,4,4,4,4,4,2,2,4,5,5,5,5,5,5,5,4,5,5,4,4,6,4
5,5,5,5,5,5,5,4,3,3,4,5,5,5,5,4,5,5,4,4,5,3,4,6,4
3,5,5,5,6,6,3,5,2,3,5,4,5,5,5,5,3,5,3,5,5,4,4,5,2
4,6,6,6,6,6,4,4,3,3,6,6,6,6,6,6,5,6,5,4,2,4,5,5,2
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,5,4,4,6,4
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,1,2,5,6,6,6,6,6,3,6,4,5,6,6,5,6,5
5,5,5,6,6,6,6,5,4,4,5,6,5,4,5,5,3,6,5,6,5,4,5,6,5
3,5,5,5,5,5,5,4,2,3,4,5,5,5,5,5,3,5,4,5,4,5,5,5,4
3,5,2,4,5,5,5,4,4,4,4,5,5,5,5,5,3,5,6,5,4,2,2,6,3
3,5,5,4,6,5,4,5,3,4,6,5,6,5,6,4,3,5,4,6,4,3,4,5,4
4,5,5,6,6,6,4,4,3,4,6,6,6,6,6,6,5,6,1,6,6,6,4,5,4
1,5,6,6,6,6,4,5,3,4,5,5,6,6,6,3,3,6,5,4,5,2,4,6,5
5,1,6,4,6,6,6,6,3,4,5,6,6,6,6,6,3,6,5,4,5,2,5,5,5
3,5,5,6,6,5,4,3,1,5,5,6,4,6,6,6,5,6,1,5,6,4,2,6,6
3,5,5,3,6,6,6,6,3,3,5,5,6,5,6,5,4,5,5,4,5,3,4,6,2
3,5,4,2,5,4,5,5,3,4,4,5,4,5,4,5,2,1,4,4,3,2,3,2,4
4,4,4,5,5,5,5,4,3,3,4,5,6,6,5,5,3,4,4,5,5,5,4,6,3
6,5,4,6,6,5,5,4,2,3,5,6,5,5,6,6,6,6,4,5,6,4,4,6,5
5,2,4,4,5,5,6,5,3,3,4,5,5,5,5,6,4,5,3,4,6,4,5,4,4
6,6,6,6,6,6,6,5,4,4,5,6,6,6,6,6,6,6,2,3,5,5,5,4,4
5,6,6,6,6,5,6,6,2,4,4,5,4,6,6,5,3,5,2,4,4,4,3,5,3
6,5,5,3,5,6,5,5,3,4,5,5,6,5,6,3,3,4,5,5,5,2,3,6,3
4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,5,3
3,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,5,5,4,4,2,3,6,3
5,5,4,6,5,5,4,6,2,2,6,5,6,6,6,5,4,5,3,6,5,4,5,6,2
5,5,5,3,6,6,6,4,3,4,5,6,6,6,6,5,3,4,4,5,5,3,4,5,4
5,4,5,5,5,6,6,5,1,5,4,5,6,6,6,6,4,6,2,5,6,6,6,3,5
6,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,6,3,4,4,1
1,6,6,6,6,6,5,2,2,5,2,5,6,2,5,2,1,4,5,6,1,4,2,5,5
6,5,4,4,6,6,6,5,4,4,6,6,6,6,6,4,4,6,5,5,6,3,4,6,3
4,4,6,4,6,6,6,5,1,2,6,5,6,6,6,6,2,6,2,6,6,5,5,5,6
2,3,4,4,5,5,5,6,4,3,5,6,5,5,5,5,3,6,5,4,4,3,4,6,5
4,5,5,5,5,5,4,4,3,3,4,5,5,5,5,4,4,5,4,4,5,3,4,6,3
4,6,4,5,5,6,5,6,3,3,4,5,6,6,6,6,4,6,4,5,4,4,4,6,2
3,5,4,5,4,4,6,6,2,4,4,5,5,5,5,4,4,4,5,4,4,2,2,6,4
4,5,3,4,5,5,4,5,5,5,4,5,3,2,5,5,3,3,6,4,3,1,3,6,3
6,6,6,1,6,6,5,6,3,4,4,6,6,6,6,6,1,3,4,5,4,3,4,6,4
5,5,3,5,5,5,5,5,3,3,4,5,6,5,5,5,5,5,5,5,4,2,2,6,1
4,4,6,3,5,5,5,5,3,3,5,6,4,5,4,4,2,6,4,5,6,3,4,6,4
2,5,5,3,5,6,5,4,3,3,4,5,4,5,5,4,3,4,3,5,5,3,4,6,4
5,4,5,4,6,6,4,4,3,4,4,5,5,5,5,5,4,5,5,4,4,3,4,6,4
5,5,5,6,6,6,5,4,3,4,4,4,5,5,5,4,4,5,3,5,5,5,2,5,5
5,2,2,5,5,6,5,4,3,3,4,6,6,6,6,6,4,5,6,6,6,2,3,6,1
3,4,4,6,5,5,4,4,4,5,5,5,5,5,5,5,2,4,5,5,5,3,4,6,2
3,4,5,5,6,6,4,4,3,4,3,5,6,6,6,5,4,5,4,5,5,4,5,5,2
4,2,3,2,6,6,6,6,4,6,6,5,4,5,5,6,4,5,6,6,5,3,5,6,4
4,5,5,2,6,6,6,5,3,4,4,6,6,5,6,5,5,5,4,6,6,5,5,6,3
2,6,5,6,6,6,5,3,2,5,4,5,6,6,5,4,2,5,5,5,4,4,4,6,3
5,5,2,4,5,5,5,5,3,3,4,5,5,5,5,5,3,5,5,5,4,4,4,5,4
3,4,4,4,5,4,4,4,3,4,4,5,4,5,5,5,4,6,4,5,5,5,5,6,2
3,4,6,6,6,6,2,4,1,3,6,5,5,6,6,4,4,5,2,6,5,6,4,5,3
5,5,2,4,5,6,4,4,5,5,5,3,2,5,5,6,1,4,6,5,4,4,5,6,2
4,6,6,5,6,6,6,5,4,4,4,6,6,5,6,5,4,3,5,4,4,3,3,5,3
4,4,3,5,5,5,4,3,3,4,4,4,5,5,5,4,2,4,5,4,5,3,3,6,3
